Name,School,ERA,W,L,G,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,BF,BAA,WP,HBP,BK
"Weisberg, Michael",CSU Fullerton,3.68,3,4,27,0,0,0,4,36.66,19,15,15,20,46,3,1,4,121,0.157,7,5,1
"Yates, Evan",CSU Fullerton,5.11,3,3,17,10,0,0,0,49.33,54,33,28,29,43,11,0,2,195,0.277,7,7,1
"Smith, Austin",UC San Diego,3.18,0,2,7,7,0,0,0,17,13,7,6,5,20,2,0,1,62,0.21,3,0,0
"McNally, Ryan",UC San Diego,0,0,0,7,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0
"Tonnerre, Zach",UC San Diego,7.85,0,3,10,5,0,0,0,28.66,47,28,25,5,18,4,3,6,127,0.37,1,6,1
"Rissas, Ryan",UC San Diego,3.68,2,1,29,0,0,0,1,22,13,9,9,8,30,3,0,2,76,0.171,5,1,0
"Holt, Ethan",UC San Diego,5.18,1,1,22,0,0,0,0,40,54,30,23,11,15,11,1,5,172,0.314,4,3,0
"Martinez, Izaak",UC San Diego,3.09,3,2,21,1,0,0,2,43.66,35,20,15,16,47,9,1,6,165,0.212,1,5,0
"Alvarez, Aren",UC San Diego,4.32,3,4,22,2,0,0,2,41.66,34,27,20,20,44,5,3,4,160,0.213,6,2,0
"Conlon, Noah",UC San Diego,6.35,4,9,16,14,0,0,0,66.66,75,52,47,43,64,15,1,4,268,0.28,18,8,0
"Dale, Cole",UC San Diego,6.3,0,1,16,2,0,0,0,20,18,18,14,19,9,3,1,0,77,0.234,1,4,0
"Dalquist, Matthew",UC San Diego,2.11,1,0,4,4,0,0,0,21.33,20,5,5,5,20,5,0,2,82,0.244,3,0,0
"Ernisse, Zack",UC San Diego,6.58,4,3,19,6,0,0,0,53.33,59,40,39,25,45,4,3,4,210,0.281,11,6,0
"Forcucci, Ryan",UC San Diego,4.19,2,4,13,12,0,0,0,53.66,50,28,25,15,53,12,4,2,199,0.251,5,6,0
