"Name","School","ERA","W","L","G","GS","CG","SHO","SV","IP","H","R","ER","BB","SO","X2B","X3B","HR","BF","BAA","WP","HBP","BK","IP_outs","FIP","SO_BB","ERA_plus","WHIP","H9","HR9","BB9","SO9","K_rate","BB_rate","K_BB_rate"
"Repetti, Cameron","CSU Fullerton",5.86,1,6,23,3,0,0,3,50.66,50,38,33,18,47,4,1,8,202,0.248,8,6,1,152,5.67,2.61,87,1.283,8.9,1.4,3.2,8.3,23.3,8.9,14.4
"Chester, Fynn","CSU Fullerton",2.3,3,1,23,6,1,1,0,62.66,59,20,16,12,32,14,2,2,236,0.25,2,1,0,188,4.07,2.67,221,0.702,8.5,0.3,1.7,4.6,13.6,5.1,8.5
"Gil, Ryan","CSU Fullerton",5.4,3,2,15,3,0,0,0,21.66,15,14,13,19,25,5,0,0,76,0.197,5,6,0,65,5.21,1.32,94,2.03,6.2,0,7.9,10.4,32.9,25,7.9
"Gomez, Samuel","CSU Fullerton",7.94,0,0,14,1,0,0,0,11.33,16,10,10,7,9,2,0,2,45,0.356,1,3,0,34,7.41,1.29,64,1.412,12.7,1.6,5.6,7.1,20,15.6,4.4
"Howitt, Josh","CSU Fullerton",6.35,0,3,26,0,0,0,0,17,20,14,12,13,14,5,1,0,65,0.308,3,9,1,51,6.29,1.08,80,1.588,10.6,0,6.9,7.4,21.5,20,1.5
"Johnson, Wyatt","CSU Fullerton",7.84,0,0,19,1,0,0,0,10.33,17,11,9,12,10,1,1,1,47,0.362,5,4,0,31,8.02,0.83,65,2.13,14.8,0.9,10.5,8.7,21.3,25.5,-4.2
"Jones, Peyton","CSU Fullerton",8.07,1,2,16,5,0,0,1,29,39,28,26,12,19,8,1,2,117,0.333,6,7,0,87,5.61,1.58,63,1.069,12.1,0.6,3.7,5.9,16.2,10.3,5.9
"Josten, Timothy","CSU Fullerton",8.39,0,0,6,3,0,0,0,9.66,20,11,9,5,7,3,0,0,47,0.426,1,1,0,29,4.47,1.4,61,1.241,18.6,0,4.7,6.5,14.9,10.6,4.3
"Joya, Anthony","CSU Fullerton",13.5,0,0,7,1,0,0,0,4,8,7,6,5,3,3,0,0,19,0.421,1,1,0,12,7.06,0.6,38,2,18,0,11.2,6.8,15.8,26.3,-10.5
"Kelly, Grant","CSU Fullerton",18,0,1,6,0,0,0,0,3,6,6,6,4,0,3,0,0,14,0.429,0,1,0,9,9.06,0,28,1.333,18,0,12,0,0,28.6,-28.6
"Meyer, Gavin","CSU Fullerton",5.59,2,1,23,0,0,0,0,29,34,18,18,12,32,5,1,3,116,0.293,4,3,0,87,4.75,2.67,91,1.517,10.6,0.9,3.7,9.9,27.6,10.3,17.3
"Muniz, Izeah","CSU Fullerton",10.22,0,0,16,1,0,0,0,12.33,18,14,14,6,15,2,0,2,52,0.346,2,1,0,37,5.43,2.5,50,1.703,13.1,1.5,4.4,10.9,28.8,11.5,17.3
"Rodriguez, Christian","CSU Fullerton",4.19,1,3,7,7,0,0,0,38.66,37,21,18,13,38,7,3,4,147,0.252,3,2,1,116,4.6,2.92,121,1.319,8.6,0.9,3,8.8,25.9,8.8,17.1
"Spears, Brayden","CSU Fullerton",54.55,0,0,4,0,0,0,0,0.33,2,2,2,1,0,1,0,0,3,0.667,0,0,0,1,13.15,0,9,3.03,54.5,0,27.3,0,0,33.3,-33.3
"Vargas, Jake","CSU Fullerton",7.73,0,0,5,0,0,0,0,4.66,4,4,4,3,5,0,0,0,18,0.222,0,1,0,14,4.48,1.67,66,1.713,7.7,0,5.8,9.6,27.8,16.7,11.1
"Wambold, James","CSU Fullerton",12.38,0,2,9,0,0,0,0,8,12,11,11,5,4,3,0,1,32,0.375,4,0,0,24,6.56,0.8,41,1.125,13.5,1.1,5.6,4.5,12.5,15.6,-3.1
"Weisberg, Michael","CSU Fullerton",3.68,3,4,27,0,0,0,4,36.66,19,15,15,20,46,3,1,4,121,0.157,7,5,1,110,5.01,2.3,138,1.8,4.7,1,4.9,11.3,38,16.5,21.5
"Yates, Evan","CSU Fullerton",5.11,3,3,17,10,0,0,0,49.33,54,33,28,29,43,11,0,2,195,0.277,7,7,1,148,5.03,1.48,99,1.46,9.9,0.4,5.3,7.8,22.1,14.9,7.2
"Smith, Austin","UC San Diego",3.18,0,2,7,7,0,0,0,17,13,7,6,5,20,2,0,1,62,0.21,3,0,0,51,3.35,4,160,1.471,6.9,0.5,2.6,10.6,32.3,8.1,24.2
"McNally, Ryan","UC San Diego",0,0,0,7,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,NA,NA,Inf,NA,Inf,NA,NA,NA,0,0,0
"Tonnerre, Zach","UC San Diego",7.85,0,3,10,5,0,0,0,28.66,47,28,25,5,18,4,3,6,127,0.37,1,6,1,86,6.67,3.6,65,0.802,14.8,1.9,1.6,5.7,14.2,3.9,10.3
"Rissas, Ryan","UC San Diego",3.68,2,1,29,0,0,0,1,22,13,9,9,8,30,3,0,2,76,0.171,5,1,0,66,3.74,3.75,138,1.727,5.3,0.8,3.3,12.3,39.5,10.5,29
"Holt, Ethan","UC San Diego",5.18,1,1,22,0,0,0,0,40,54,30,23,11,15,11,1,5,172,0.314,4,3,0,120,5.98,1.36,98,0.65,12.2,1.1,2.5,3.4,8.7,6.4,2.3
"Martinez, Izaak","UC San Diego",3.09,3,2,21,1,0,0,2,43.66,35,20,15,16,47,9,1,6,165,0.212,1,5,0,131,5.13,2.94,164,1.443,7.2,1.2,3.3,9.7,28.5,9.7,18.8
