Name,School,AVG,G,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG,BB,HBP,SO,GDP,OBP,SF,SH,SB,SBA
"Halemanu, Cade",Hawaii,0.000,15,15,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Hiraki, Blake",Hawaii,0.077,9,2,13,0,1,1,0,0,0,2,0.154,1,0,7,0,0.143,0,0,0,0
"Ichimura, Trevor",Hawaii,0.000,6,0,1,1,0,0,0,0,0,0,0.000,0,1,1,0,0.500,0,0,0,0
"Pindel, Buddie",Hawaii,0.000,22,6,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Koali'i Pontes, Blaze",Hawaii,0.000,20,7,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Renne, Dalton",Hawaii,0.000,19,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Watanabe, Kody",Hawaii,0.000,14,3,11,1,0,0,0,0,0,0,0.000,2,1,7,0,0.214,0,0,0,0
"Whipple, Ben",Hawaii,0.000,6,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Simons, Jakob",CSUN,0.227,37,24,97,15,22,5,3,0,14,33,0.340,11,14,31,1,0.376,3,2,6,8
"Sojka, Andrew",CSUN,0.335,54,54,209,46,70,18,1,4,25,102,0.488,30,2,36,1,0.420,2,6,9,12
"Moody, Kai",CSUN,0.292,53,53,212,46,62,13,3,5,33,96,0.453,28,0,16,3,0.372,2,2,8,11
"Sakaino, Shunsuke",CSUN,0.185,28,5,27,3,5,0,0,0,3,5,0.185,4,1,9,0,0.303,1,1,4,4
"Gonzalez, Gabe",CSUN,0.250,46,42,140,22,35,6,0,11,39,74,0.529,21,19,50,3,0.414,1,0,0,1
"West, Bart",CSUN,0.338,53,46,195,31,66,11,1,8,39,103,0.528,7,1,39,2,0.363,1,1,7,9
"Kramer, Joey",CSUN,0.250,51,50,172,28,43,14,1,5,27,74,0.430,16,10,34,4,0.345,2,0,1,4
"Barraza, Nathan",CSUN,0.235,31,5,34,6,8,1,0,0,5,9,0.265,7,2,7,0,0.395,0,0,1,3
"Le, Mason",CSUN,0.248,49,43,161,20,40,7,0,5,22,62,0.385,9,1,43,3,0.286,4,3,2,5
"Bohning, Brandon",CSUN,0.272,50,48,173,23,47,7,1,1,23,59,0.341,11,7,20,3,0.337,2,2,4,7
"Tarlow, Graysen",CSUN,0.286,35,24,91,14,26,2,0,0,3,28,0.308,21,1,12,0,0.425,0,4,4,5
"Sodersten, Blake",CSUN,0.000,19,11,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Wilson, Chad",CSUN,0.000,15,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
